Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Gift Card,Status
neem-bodywash-new,Neem Bodywash,,Little Joys,,"kids, little-joys",TRUE,Title,Default Title,MWLJSKP.0009.B0_N,249.00,349.00,TRUE,TRUE,,Neem Bodywash,FALSE,active
nutrimix-nutrition-powder,NutriMix Nutrition Powder 3,"🌾<b>5g of protein </b>per serving of Nutrimix, essential for kids aged 2-6 for for overall health and development. <br><br>🥛 Can be had as morning milk or a yummy afternoon milkshake! <br><br>⬆️<b>Healthy nutrition </b> with plant-based protein sources like <b>moong dal, peas</B> and <b>brown rice</b>.<br><br>🛡️<b>Boosts immunity </b>with superfoods like <b>ragi & bajra</b> and <b>23 vitamins & minerals.</b><br><br>💪🏼 Ensures <b>healthy development</b> with the goodness of <b>almonds and walnuts</b>. <br><br>🦴 <b>Calcium </b>to help build <b>strong bones </b>and <b>DHA</b> (omega3) for healthy<b> brain development. </b><br><br>🚫<b> ZERO white sugar</b>. <b>Naturally sweetened</b> with <b>jaggery</b> and <b>dates</b>.<br><br>To be given only under medical advice by a physician or certified dietician or nutritionist for children 2–5 years.",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.0003.B0_N,549.00,649.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Nutrimix%20Chocolate%20Nutrition%20Powder_aknw9r.jpg?tr=w-600,NutriMix Nutrition Powder 3,FALSE,active
brain-booster-gummies,Brain Health Gummies,"► <b>For Ages 2+</b></br></br>

► Our <b>DHA Brain Gummies</b> boost memory, concentration and long term brain development!</br></br>

► Powered by <b>DHA & Choline</b> + with 8 nutrients and 4 delicious fruits and veggies.</br></br>

► <b>Bonus?</b> It has zero added sugar!</br></br>

<b>30 Gummies | 100% Safe | Pediatrician Recommended</b></br></br>To be given only under medical advice by a physician or certified dietician or nutritionist for children 2–5 years.",Little Joys,gummies,"gummies, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.0007.B0_N,499.00,549.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/DHA%20Omega3%20Brain%20Gummies%202%2B%20%2830N%29_47ta0n.jpg?tr=w-600,Brain Health Gummies,FALSE,active
multivitamin-gummies-pack-2,Multivitamin Gummies (60),"<b>For best results, use consistently for 3 months</b><br/><br/>✅ <b>11+ vitamins & minerals</b> for your little one's <b>daily nutritional needs</b>.<br><br>🍎 Contains <b>6 real fruits & vegetables</b>! Fulfills any nutrition gaps in diet due to fussy or picky eating.<br/><br/>🛡️ Contains <b>Vitamin C, Turmeric (Haldi), Vitamin B12 & Zinc</b> which are known to <b>boost immunity.</b><br/><br/>🚫 ZERO ADDED SUGAR - Uses a <b>prebiotic fibre chicory root</b> as its base. Along with gut health and immunity benefits it provides <b>natural sweetness</b> to the gummy.</br></br>🚫 <b>No artificial colours, flavours or preservatives</b>. Only the YUMMIEST, CLEANEST, HEALTHIEST gummy!<br><br><b>60 Gummies | 100% Safe | Paediatrician Recommended <br/><br/> <b>Contains ingredients that help : </b>",Little Joys,gummies,"gummies, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00023.B0_N,749.00,999.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/multivitamin-gummies-pack-2/multivitamin-gummies%202%2B%2060N_j34v8y.png?tr=w-600,Multivitamin Gummies (60),FALSE,active
multivitamin-gummies,Multivitamin Gummies ,"<b>For best results, use consistently for 3 months</b><br/><br/>✅ <b>11+ vitamins & minerals</b> for your little one's <b>daily nutritional needs</b>.<br><br>🍎 Contains <b>6 real fruits & vegetables</b>! Fulfills any nutrition gaps in diet due to fussy or picky eating.<br/><br/>🛡️ Contains <b>Vitamin C, Turmeric (Haldi), Vitamin B12 & Zinc</b> which are known to <b>boost immunity.</b><br/><br/>🚫 ZERO ADDED SUGAR - Uses a <b>prebiotic fibre chicory root</b> as its base. Along with gut health and immunity benefits it provides <b>natural sweetness</b> to the gummy.</br></br>🚫 <b>No artificial colours, flavours or preservatives</b>. Only the YUMMIEST, CLEANEST, HEALTHIEST gummy!<br><br><b>30 Gummies | 100% Safe | Paediatrician Recommended <br/><br/>To be given only under medical advice by a physician or certified dietician or nutritionist for children 2–5 years.<br/><b>Contains ingredients that help : </b>",Little Joys,gummies,"gummies, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.0002.B0_N,499.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Multivitamin%20Gummies%202%2B%20%2830%20Days%20Pack%29_lwfoq5.jpg?tr=w-600,Multivitamin Gummies ,FALSE,active
brain-booster-gummies-pack-2,DHA Brain Health Gummies (60N),"► Our <b>DHA Brain Gummies</b> boost memory, concentration and long term brain development!<br/><br/>► Powered by DHA & Choline + with 8 nutrients and 4 delicious fruits and veggies.<br/><br/>► Bonus? It has zero added sugar!<br/><br/><b>60 Gummies | 100% Safe | Pediatrician Recommended</b><br/><br/>To be given only under medical advice by a physician or certified dietician or nutritionist for children 2–5 years.",Little Joys,gummies,"gummies, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00532.B0_N,899.00,999.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/DHA%20Omega3%20Brain%20Gummies%202%2B%20%2860N%29_ivzdpg.jpg?tr=w-600,DHA Brain Health Gummies (60N),FALSE,active
nutrimix-nutrition-powder-pack-3,Nutrimix Chocolate (1kg),"🌾<b>6g of Protein </b>per serving of <b>Nutrimix</b>, essential for kids aged 2-6 for <b> healthy growth & development</b>.<br><br>⬆️ <b>Overall Health & Development</b> with plant-based protein sources like <b>moong dal, peas</B> and <b>brown rice</b>.<br><br>🛡️<b>Boosts immunity </b>with superfoods like <b>ragi & bajra</b> and <b>23+ vitamins & minerals.</b><br><br>💪🏼 Ensures <b>healthy weight gain</b> with the goodness of <b>almonds and walnuts</b>. <br><br>🦴 <b>Calcium </b>to help build <b>strong bones </b>and <b>DHA</b> (omega3) for healthy<b> brain development. </b><br><br>🚫<b> ZERO white sugar</b>.<b>Naturally sweetened</b> with <b>jaggery</b> and <b>dates</b>.<br><br>To be given only under medical advice by a physician or certified dietician or nutritionist for children 2–5 years.",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00507.B0_N,1399.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Nutrimix%202%2B%20Chocolate%20%281kg%29_kw9p7q.jpg?tr=w-600,Nutrimix Chocolate (1kg),FALSE,active
nutrimix-nutrition-powder-1,NutriMix Nutrition Powder(400g),"► Promotes natural height growth, strength & immunity<br/><br/>► Packed with protein, calcium and vitamin D3<br/><br/>► Protein content equivalent to 3 bowls of dal<br/><br/>► Contains Ragi, Bajra & Oats <br/><br/>► Includes almonds, walnuts, chia and flax seeds<br/><br/>► Naturally sweetened with jaggery & dates<br/><br/><b>No side effects | Paediatrician Recommended | 400 grams | Chocolate Flavoured | Gluten Free</b>",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTK.00022.B0_N,599.00,699.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/nutrimix-nutrition-powder/Nutrimiz_WBG_5gjc5h.jpg?tr=w-600,NutriMix Nutrition Powder(400g),FALSE,active
peppa-body-lotion-for-kids,Moisturizing Body Lotion ,"Want to keep your child's skin feeling cotton-smooth?<br/><br/>Our moisturising lotion is enriched with aloe vera and extract for soothing, nourishing and hydrating dry skin.<br/><br/>This non-greasy formula is made safe certified and 100% free of harmful chemicals.",Little Joys,personal-care,"personal-care, kids, little-joys",TRUE,Title,Default Title,MWLJSKP.0002.B0_N,349.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/peppa-body-lotion-for-kids/2850%20Cr%206_5jxs82.jpg?tr=w-800,Moisturizing Body Lotion ,FALSE,active
peppa-shampoo-and-bodywash-for-kids,Tip - 2 - Toe: Shampoo + Body Wash,"Our <b>dermatologist approved, natural 2-in-1 cleanser</b> is packed with <b>Aloe Vera, Neem and Oat Extracts</b> for your little one's hair and skin.</br></br>
► <b>Natural & Organic wash</b> for your child's delicate body.</br></br>
► <b>Deep cleanses</b> and protects your skin and scalp.</br></br>
► Leaves skin feeling <b>fresh, soft, and moisturised</b>.</br></br>
► <b>Doctor-approved formulation - 100% Safe</b>.</br></br>
► Child-friendly formula made for <b>'tear-free' bath-time</b>.</br></br>
► Free of <b>paraben, sulphate, and toxins</b>.</br></br>
► <b>Smells nice!</b></br>",Little Joys,personal-care,"personal-care, kids, little-joys",TRUE,Title,Default Title,MWLJHYP.0001.B0_N,299.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/peppa-shampoo-and-bodywash-for-kids_61tapu.jpg?tr=w-600,Tip - 2 - Toe: Shampoo + Body Wash,FALSE,active
