Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status,Metafield: custom.bh_concern [string],Metafield: custom.bh_gender [string],Metafield: custom.bh_segment [string],Metafield: custom.bh_score [integer],Metafield: custom.bh_follow_up [string]
hair-strengthening-serum-60ml,Hair Strengthening Serum 60ml,<p>Say hello to healthy hair with Man Matters hair strengthening serum. Our serum is a unique non sticky formulation fortified with Jojoba oil and Argan oil to give your hair life and make them thicker.</p>,Man Matters,,Hair,"hair, hair thinning, Man Matters, hair",TRUE,Title,Default Title,hair-strengthening-serum-60ml,0,shopify,100,continue,manual,499,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/thumb_ctvc8p.png?tr=w-600,1,Hair Strengthening Serum 60ml,FALSE,Hair Strengthening Serum 60ml,,,,,,new,FALSE,,,,,,,g,,,TRUE,499,,active,hair,male,"male-18-25,male-25-35",78,hair thinning
anti-hair-fall-shampoo-200ml,Anti Hair Fall Shampoo (200ml),"<p>Suited for all Stage 1.</br>Man Matters Anti Hair Thinning Shampoo is <b>2-in-1 DHT blocking</b> shampoo powered with ingredients like caffeine, biotin and argan oil that helps reduce hair thinning an</p>",Man Matters,,Hair,"hair, stage 1, hair thinning, hair fall, Man Matters, hair",TRUE,Title,Default Title,anti-hair-fall-shampoo-200ml,0,shopify,100,continue,manual,359,398,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1596/DHT%20Blocking_k8fy7r.png?tr=w-600,1,Anti Hair Fall Shampoo (200ml),FALSE,Anti Hair Fall Shampoo (200ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,359,398,active,hair,male,"male-18-25,male-25-35",80,"stage 1,hair thinning,hair fall"
hair-growth-oil-100ml,Hair Growth Oil (100ml),"<p>Bring your hair back to life with our Hair Growth Oil! <br/>It is enriched with 5 natural essential oils for hair- Bhringraj Oil, Onion Oil, Amla Oil, Shikakai Oil and Brahmi Oil. This hair growth oil</p>",Man Matters,,Hair,"hair, hair thinning, Man Matters, hair",TRUE,Title,Default Title,hair-growth-oil-100ml,0,shopify,100,continue,manual,315,346,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1601/Hair%20oil_kg5vgl.png?tr=w-600,1,Hair Growth Oil (100ml),FALSE,Hair Growth Oil (100ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,315,346,active,hair,male,"male-18-25,male-25-35",78,hair thinning
biotin-hair-gummies-30n,Biotin Hair Gummis (30N),"<p>Hairfall noticed on comb, pillow, and hands after shower.<br/><br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hair,male,"male-18-25,male-25-35",93,"stage 1,hair thinning,hair fall"
Just use <b>Man Matters Hair Gummies (30 N):</b><br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains Biotin,Zinc,and Vitamins A,"C & E which strengthen hair roots </p>,Man Matters,,Hair,hair",stage 1,hair thinning,hair fall,Man Matters,"hair,TRUE,Title,Default Title,biotin-hair-gummies-30n,0,shopify,100,continue,manual,499,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1605/HG%2030_iqol1j.png?tr=w-600,1,Biotin Hair Gummis (30N),FALSE,Biotin Hair Gummis (30N),,,,,,new,FALSE,,,,,,,g,,,TRUE,499,,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biotin-hair-gummies-30n-mm,Biotin Hair Gummies (30N) No Sugar,<p>⚠️<b> Hair loss at forehead corners or volume reduction overall(shown in Image 2)? </b> Use our <u><a href=https://manmatters.com/dp/141464?utm_source=pdpdesc>Stage 2 Hair fall Kit</a></u></br></br><b</p>,Man Matters,,Hair,"hair, Man Matters, hair",TRUE,Title,Default Title,biotin-hair-gummies-30n-mm,0,shopify,100,continue,manual,499,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1605/HG_30_ecp7u0.png?tr=w-600,1,Biotin Hair Gummies (30N) No Sugar,FALSE,Biotin Hair Gummies (30N) No Sugar,,,,,,new,FALSE,,,,,,,g,,,TRUE,499,,active,hair,male,"male-18-25,male-25-35",93,
endure-long-last-spray-20ml,Endure Long Last Spray (20ml),<b>🚀 Man Matters Endure Delay Spray: Enhance Your Experience with Confidence! 🚀</b></br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hormones,male,"male-18-25,male-25-35,male-35-plus",78,
✨ Lidocaine-Powered Performance Boost:</br></br>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Formulated with Lidocaine for effective and lasting ,Man Matters,,Hormones,hormones",Man Matters,"hormones,TRUE,Title,Default Title,endure-long-last-spray-20ml,0,shopify,100,continue,manual,349,396,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1626/Endure%20long%20last%20spray%20_e4n97h.png?tr=w-600,1,Endure Long Last Spray (20ml),FALSE,Endure Long Last Spray (20ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,349,396,active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endure-long-last-spray-20ml-mm,Endure Long Last Spray (20ml),"<p>Our Lidocaine Delay Spray for Men is a safe delay spray designed to particularly decrease sensitivity. Whenever need be, use our lidocaine spray for effectively improving your experience without any s</p>",Man Matters,,Hormones,"hormones, premature ejaculation, Man Matters, hormones",TRUE,Title,Default Title,endure-long-last-spray-20ml-mm,0,shopify,100,continue,manual,399,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1622962567/Man%20Matters/Performance%20clean%20up/endure/ENDURE-Long-Last-Spray_1600X1200.jpg?tr=w-800,1,Endure Long Last Spray (20ml),FALSE,Endure Long Last Spray (20ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,399,,active,hormones,male,"male-18-25,male-25-35,male-35-plus",70,premature ejaculation
complete-vitality-solution,Complete Vitality Solution,<p>This kit combines Tadalafil - a safe and effective SOS solution for performance issues with PERFORM Vitality Tablets - which contains 8 scientifically proven ingrediient that help improve performance </p>,Man Matters,,Hormones,"hormones, erectile dysfunction, Man Matters, hormones",TRUE,Title,Default Title,complete-vitality-solution,0,shopify,100,continue,manual,744,835,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1622962735/Man%20Matters/Performance%20clean%20up/complete%20vitality/Complete-Vitality-Solution_1600X1200.jpg?tr=w-800,1,Complete Vitality Solution,FALSE,Complete Vitality Solution,,,,,,new,FALSE,,,,,,,g,,,TRUE,744,835,active,hormones,male,"male-18-25,male-25-35,male-35-plus",78,erectile dysfunction
the-complete-pe-solution,The Complete PE Solution,"<p>Performance Problems refer to any situation where the man or his partner experience distress, frustration, or the avoidance of intimacy due to endurance concerns.Our Complete Performance kit is a trip</p>",Man Matters,,Hormones,"hormones, Man Matters, hormones",TRUE,Title,Default Title,the-complete-pe-solution,0,shopify,100,continue,manual,1099,1234,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1622962493/Man%20Matters/Performance%20clean%20up/vit%20end%20dap/Endure_vitality_dapox_1600X1200.jpg?tr=w-800,1,The Complete PE Solution,FALSE,The Complete PE Solution,,,,,,new,FALSE,,,,,,,g,,,TRUE,1099,1234,active,hormones,male,"male-18-25,male-25-35,male-35-plus",77,
the-complete-perfomance-solution,The Complete Perfomance Solution,"<p>This kit helps you improve stamina, vitality, increase endurance and improve performance when you need it. A combination of our OTC solutions and prescription solutions.</p>",Man Matters,,Hormones,"hormones, Man Matters, hormones",TRUE,Title,Default Title,the-complete-perfomance-solution,0,shopify,100,continue,manual,1199,1332,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1604746120/Man%20Matters/Card%20image%20change/Skin/Performance/complete%20performance/The-Complete-Performance-Solution_1600X1200.jpg?tr=w-800,1,The Complete Perfomance Solution,FALSE,The Complete Perfomance Solution,,,,,,new,FALSE,,,,,,,g,,,TRUE,1199,1332,active,hormones,male,"male-18-25,male-25-35,male-35-plus",76,
perform-intimate-care-kit-1x-endure-spray-1-x-perform-vitali,Perform - Intimate Care Kit | 1x Endure Spray + 1 x Perform Vitality Tablets + 1 x SWIPES,"<p>This kit is designed keeping in mind the intimate needs of men, from endurance, energy and hygiene. The power combo that should be every man's best friend.</p>",Man Matters,,Hormones,"hormones, Man Matters, hormones",TRUE,Title,Default Title,perform-intimate-care-kit-1x-endure-spray-1-x-perform-vitali,0,shopify,100,continue,manual,1099,1373,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1598409530/Man%20Matters/Performance%20Matters/4.png?tr=w-800,1,Perform - Intimate Care Kit | 1x Endure Spray + 1 x Perform Vitality Tablets + 1 x SWIPES,FALSE,Perform - Intimate Care Kit | 1x Endure Spray + 1 x Perform Vitality Tablets + 1 x SWIPES,,,,,,new,FALSE,,,,,,,g,,,TRUE,1099,1373,active,hormones,male,"male-18-25,male-25-35,male-35-plus",78,
complete-endurance-solution,Complete Endurance Solution,"<p>This kit helps you increase stamina, improve vitality and increase endurance. Its a dual action combo of our effective OTC solutions that help you have better intimate times.</p>",Man Matters,,Hormones,"hormones, Man Matters, hormones",TRUE,Title,Default Title,complete-endurance-solution,0,shopify,100,continue,manual,899,1070,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1622962760/Man%20Matters/Performance%20clean%20up/complete%20endurance/Complete-Endurance-Solution_1200X1600.jpg?tr=w-800,1,Complete Endurance Solution,FALSE,Complete Endurance Solution,,,,,,new,FALSE,,,,,,,g,,,TRUE,899,1070,active,hormones,male,"male-18-25,male-25-35,male-35-plus",78,
the-vital-pe-solution,The Vital PE Solution,"<p>Performance Problems refer to any situation where the man or his partner experience distress, frustration, or the avoidance of intimacy due to endurance concerns. Our Vital Performance Problem kit is </p>",Man Matters,,Hormones,"hormones, premature ejaculation, Man Matters, hormones",TRUE,Title,Default Title,the-vital-pe-solution,0,shopify,100,continue,manual,890,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1622962469/Man%20Matters/Performance%20clean%20up/vital%20endurance/Vitality_dapox_1600X1200.jpg?tr=w-800,1,The Vital PE Solution,FALSE,The Vital PE Solution,,,,,,new,FALSE,,,,,,,g,,,TRUE,890,,active,hormones,male,"male-18-25,male-25-35,male-35-plus",77,premature ejaculation
three-month-pack-apple-cider-vinegar-gummies-90-gummies-zero,Three Month Pack - Apple Cider Vinegar Gummies (90 Gummies) | Zero Sugar | 100% Vegan,"<p>Made using PURE Apple Cider Vinegar, ACV gummies are the most convenient way to get your daily dose of ACV. ACV’s acetic acid content improves digestion and metabolism, chicory inulin reduces your hun</p>",Man Matters,,Weight,"weight, Man Matters, weight",TRUE,Title,Default Title,three-month-pack-apple-cider-vinegar-gummies-90-gummies-zero,0,shopify,100,continue,manual,1669,1794,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1635333205/Man%20Matters/wp_uploads/2020/07/3month_1600.jpg?tr=w-800,1,Three Month Pack - Apple Cider Vinegar Gummies (90 Gummies) | Zero Sugar | 100% Vegan,FALSE,Three Month Pack - Apple Cider Vinegar Gummies (90 Gummies) | Zero Sugar | 100% Vegan,,,,,,new,FALSE,,,,,,,g,,,TRUE,1669,1794,active,weight,male,"male-18-25,male-25-35,male-35-plus",78,
perform-vitality-tablets-2-months-pack,PERFORM Vitality Tablets (2 months Pack),<p>These are a unique formulation of eight scientifically proven ingredients that help you feel and perform your best. This daily supplement is fortified with clinically tested active ingredients that he</p>,Man Matters,,Hormones,"hormones, Man Matters, hormones",TRUE,Title,Default Title,perform-vitality-tablets-2-months-pack,0,shopify,100,continue,manual,1199,1394,TRUE,TRUE,https://i.mscwlns.co/products/wp-content/2020/06/2-month-kitMob-view.jpg,1,PERFORM Vitality Tablets (2 months Pack),FALSE,PERFORM Vitality Tablets (2 months Pack),,,,,,new,FALSE,,,,,,,g,,,TRUE,1199,1394,active,hormones,male,"male-18-25,male-25-35,male-35-plus",77,
anti-hair-fall-shampoo-300ml,HG 60|Hair Serum 30|Hair Serum 30||||,<b>Stage 1</b> is when you are experiencing hair thinning for less than a year however have not yet experienced receding hairline </br></br>This treatment kit contains:</br></br>💥<b> Biotin Gummies</b,Man Matters,,Hair,"hair, stage 1, not yet visible, genetics, none, Man Matters, hair",TRUE,Title,Default Title,anti-hair-fall-shampoo-300ml,0,shopify,100,continue,manual,1699,2785,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/100353/qq%20%284%29_f5fk7t.png?tr=w-600,1,HG 60|Hair Serum 30|Hair Serum 30||||,FALSE,HG 60|Hair Serum 30|Hair Serum 30||||,,,,,,new,FALSE,,,,,,,g,,,TRUE,1699,2785,active,hair,male,"male-18-25,male-25-35",74,"stage 1,not yet visible,genetics,none"
anti-hair-fall-shampoo-300ml-mm,HG 60|ADS 100|Hair Serum 30|Hair Serum 30|||,<b>Stage 1</b> is when you are experiencing hair thinning for less than a year however have not yet experienced receding hairline </br></br>This treatment kit contains:</br>💥<b> Biotin Gummies</b>: Co,Man Matters,,Hair,"hair, Man Matters, hair",TRUE,Title,Default Title,anti-hair-fall-shampoo-300ml-mm,0,shopify,100,continue,manual,1899,3062,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/100355/qq%20%286%29_9k9l87.png?tr=w-600,1,HG 60|ADS 100|Hair Serum 30|Hair Serum 30|||,FALSE,HG 60|ADS 100|Hair Serum 30|Hair Serum 30|||,,,,,,new,FALSE,,,,,,,g,,,TRUE,1899,3062,active,hair,male,"male-18-25,male-25-35",74,
