Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Gift Card,Status
beard-gummies,Beard Gummies for Less Dense beard,,Man Matters,beard,"beard, male, beard, man-matters",TRUE,Title,Default Title,beard-gummies,449,499,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024336/Beard%20Gummies_bbgj46.png?tr=w-600,Beard Gummies for Less Dense beard,FALSE,active
minoxbeard,Man Matters BeardGro Serum with Anagain,,Man Matters,beard,"beard, male, beard, man-matters",TRUE,Title,Default Title,minoxbeard,549,599,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2024153/Creative-1_dgq3vo.jpg?tr=w-600,Man Matters BeardGro Serum with Anagain,FALSE,active
beard-tonic,BeardGro Tonic (2 Month Pack),,Man Matters,beard,"beard, male, beard, man-matters",TRUE,Title,Default Title,beard-tonic,699,998,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/26166855/Untitled__1600___1200_px___3__LdTc3FrV6.png?tr=w-600,BeardGro Tonic (2 Month Pack),FALSE,active
dermaroller,Derma Roller for Hair 1 mm,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,dermaroller,299,699,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2023223/Old%20Derma%20roller%20%281%29_glsbdw.png?tr=w-600,Derma Roller for Hair 1 mm,FALSE,active
ketoconazole-shampoo,1% Ketoconazole Shampoo 100 ml,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,ketoconazole-shampoo,299,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1144207/ADS%20100%20%282%29_c8hoq7.png?tr=w-600,1% Ketoconazole Shampoo 100 ml,FALSE,active
Ketoconazole,Anti-Dandruff Shampoo (100 ml),,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,Ketoconazole,299,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1144207/ADS_1b2kg6.png?tr=w-600,Anti-Dandruff Shampoo (100 ml),FALSE,active
massager,Scalp Massager (1N),,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,massager,299,499,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/17036119/Scalp%20Massager_c7amwz.png?tr=w-600,Scalp Massager (1N),FALSE,active
hair-oil,Hair Growth Oil (100ml),,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,hair-oil,315,349,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/1601/Hair%20oil_kg5vgl.png?tr=w-600,Hair Growth Oil (100ml),FALSE,active
ketoconazole-lotion,Ketopower+ Lotion,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,ketoconazole-lotion,349,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/3526713/ketopower%2B%20lotion_47u08q.jpg?tr=w-600,Ketopower+ Lotion,FALSE,active
deep-nourishment-hair-mask,Deep Nourishment Hair Mask,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,deep-nourishment-hair-mask,349,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1626788157/Hair%20mask/Hair-mask-_1600X1200.jpg?tr=w-800,Deep Nourishment Hair Mask,FALSE,active
adl,Dandruff Removal Lotion,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,adl,379,399,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/5100216/Dandruff%20removal%20lotion_415fve.jpg?tr=w-600,Dandruff Removal Lotion,FALSE,active
nourish-hair-tablets,NOURISH Hair Tablets,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,nourish-hair-tablets,399,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1604745554/Man%20Matters/Card%20image%20change/Hair/Nourish%20Tabs/GROW-Hair-Tablets_1600X1200.jpg?tr=w-800,NOURISH Hair Tablets,FALSE,active
ahs,Anti Hair Fall Shampoo for Menn,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,ahs,399,,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1604745272/Man%20Matters/Card%20image%20change/Hair/Anti%20hairfall%20shampoo/Anti-Hairfall-Shampoo_1600X1200.jpg?tr=w-800,Anti Hair Fall Shampoo for Menn,FALSE,active
hair-gummies,Biotin Hair Gummies Regular (60N),,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,hair-gummies,424,849,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Hair%20gummies_1ch4cw.png?tr=w-600,Biotin Hair Gummies Regular (60N),FALSE,active
hair-strength-serum,Hair Strengthening Serum 60ml,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,hair-strength-serum,499,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/thumb_ctvc8p.png?tr=w-600,Hair Strengthening Serum 60ml,FALSE,active
advance-ads,Advance Daily Use Anti-Dandruff Shampoo,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,advance-ads,499,549,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/2025050/ADUS_3n9h9m.png?tr=w-600,Advance Daily Use Anti-Dandruff Shampoo,FALSE,active
advanced-hair-oil,Advanced Hair Oil,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,advanced-hair-oil,499,549,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1635321873/Man%20Matters/Advanced%20Hair%20Oil/Product%20images/Advanced-Hair-Oil_1600X1200.jpg?tr=w-800,Advanced Hair Oil,FALSE,active
ads,Anti Dandruff Daily Use Shampoo,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,ads,499,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/26166757/Daily%20Use%20ADS_79x04y.jpg?tr=w-600,Anti Dandruff Daily Use Shampoo,FALSE,active
Redensyl,Redensyl Grow Hair Tonic,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,Redensyl,649,699,TRUE,TRUE,https://i.mscwlns.co/mosaic-wellness/image/upload/v1604745649/Man%20Matters/Card%20image%20change/Hair/Tonic/Grow-Hair-Tonic_1600X1200.jpg?tr=w-800,Redensyl Grow Hair Tonic,FALSE,active
ahs-serum,Advanced Hair Regrowth Serum,,Man Matters,hair,"hair, male, hair, man-matters",TRUE,Title,Default Title,ahs-serum,649,899,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp_rcl/26166956/Hair-gwoth-serum-_e46sb2.png?tr=w-600,Advanced Hair Regrowth Serum,FALSE,active
